store_id,product_id,qty,cost,reason_codes
181,672,3.71,270.73,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
187,194,8.19,598.15,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
182,515,4.72,344.5,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,422,4.68,341.66,"['high_demand_variability', 'high_delay_probability']"
154,26,3.49,255.06,"['high_demand_variability', 'high_delay_probability']"
196,41,7.26,530.08,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
145,215,18.51,1352.01,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
74,600,3.07,224.43,"['high_demand_variability', 'high_delay_probability']"
134,740,6.7,489.75,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,291,2.44,178.18,['high_delay_probability']
151,783,6.86,501.43,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
187,715,6.08,443.82,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
151,127,4.29,313.04,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,300,17.91,1308.58,['high_delay_probability']
187,486,9.53,696.15,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
194,345,1.49,108.96,['high_delay_probability']
147,422,5.06,369.82,"['manufacture_to_avoid_stockout', 'high_demand_variability', 'high_delay_probability']"
134,578,2.8,204.34,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,802,6.92,505.85,"['safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability']"
145,71,10.28,751.13,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
183,363,8.35,609.85,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
194,363,5.93,433.07,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
134,596,5.7,416.69,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
118,215,34.46,2517.47,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
134,834,6.75,492.78,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
196,144,12.8,935.2,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
60,292,17.88,1306.52,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_delay_probability']"
1,215,15.06,1100.39,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
46,223,1.61,117.42,['high_delay_probability']
188,554,8.55,624.95,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,11,1.15,83.88,['high_delay_probability']
147,296,5.44,397.38,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
145,363,1.08,79.02,['high_delay_probability']
151,19,1.56,113.64,['high_delay_probability']
29,426,4.47,326.45,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
18,11,7.86,573.92,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,21,7.44,543.83,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,686,0.02,1.5,['high_delay_probability']
145,201,2.02,147.65,['high_delay_probability']
134,70,11.13,812.98,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
151,104,33.56,2451.48,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_delay_probability']"
188,190,1.34,98.16,['high_delay_probability']
1,345,2.37,172.94,['high_delay_probability']
60,4,9.34,682.59,"['high_demand_variability', 'high_delay_probability']"
194,740,1.09,79.38,['high_delay_probability']
196,292,4.23,309.29,['high_delay_probability']
151,122,10.7,781.53,"['manufacture_to_avoid_stockout', 'high_demand_variability', 'high_delay_probability']"
151,796,17.45,1274.43,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
46,600,10.51,767.87,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability']"
187,310,3.23,235.74,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,300,11.97,874.7,['high_delay_probability']
118,201,2.79,203.52,['high_delay_probability']
183,596,11.19,817.42,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
194,596,2.52,183.76,['high_delay_probability']
1,201,4.07,297.07,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
1,439,6.4,467.46,"['safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability']"
147,26,1.83,133.83,"['high_demand_variability', 'high_delay_probability']"
196,166,6.17,450.51,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
182,478,2.09,152.46,['high_delay_probability']
145,578,6.76,493.84,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
196,422,7.3,533.27,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,6,3.89,284.16,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
196,4,34.08,2489.56,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability']"
188,567,1.59,116.31,['high_delay_probability']
145,596,12.22,892.89,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
74,554,1.15,84.24,['high_delay_probability']
134,38,8.3,606.34,"['safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability']"
118,84,3.03,221.15,['high_delay_probability']
1,740,0.75,54.66,['high_delay_probability']
147,129,10.01,731.53,"['manufacture_to_avoid_stockout', 'high_demand_variability', 'high_delay_probability']"
74,810,4.67,341.22,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
151,90,10.12,739.07,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
183,70,19.8,1446.3,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
194,70,4.7,343.07,['high_delay_probability']
151,99,5.26,384.15,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
18,500,5.66,413.15,"['high_demand_variability', 'high_delay_probability']"
131,41,10.53,769.06,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
151,108,4.76,347.62,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
1,578,5.81,424.27,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,30,4.65,339.55,['high_delay_probability']
145,223,2.04,149.26,['high_delay_probability']
118,596,1.17,85.6,['high_delay_probability']
151,117,21.49,1569.79,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
118,834,12.07,881.48,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,290,1.51,110.62,['high_delay_probability']
181,783,6.19,452.4,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,127,0.87,63.47,['high_delay_probability']
1,596,2.8,204.71,['high_delay_probability']
118,843,3.1,226.41,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
1,834,15.19,1109.87,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
74,666,16.44,1200.79,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,554,8.7,635.84,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
187,58,3.81,278.36,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
187,296,7.7,562.2,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
188,23,0.34,24.5,['high_delay_probability']
181,810,9.69,707.83,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
18,783,12.58,919.37,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
145,70,9.57,698.89,['high_delay_probability']
183,600,4.95,361.76,"['high_demand_variability', 'high_delay_probability']"
18,127,8.06,588.79,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,802,15.95,1165.36,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
118,214,9.83,717.78,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_delay_probability']"
188,41,5.69,415.53,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
194,600,6.71,490.47,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability']"
151,638,2.62,191.16,['high_delay_probability']
118,70,11.13,813.32,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,19,4.51,329.61,['high_delay_probability']
182,500,0.41,29.76,"['high_demand_variability', 'high_delay_probability']"
1,70,18.49,1350.59,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,11,4.22,308.15,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
187,682,8.03,586.84,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
187,26,0.4,29.05,['high_delay_probability']
60,223,1.84,134.59,['high_delay_probability']
183,74,6.76,493.85,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
18,77,6.67,487.35,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,769,0.02,1.14,['high_delay_probability']
118,829,3.06,223.81,['high_delay_probability']
134,554,6.56,478.89,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
118,600,6.65,485.52,['high_delay_probability']
131,292,8.86,647.13,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,122,14.52,1060.67,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
187,291,8.11,592.37,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
18,104,34.44,2515.6,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,796,13.35,975.59,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
18,769,14.75,1077.42,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,140,6.78,495.06,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_delay_probability']"
187,300,35.95,2626.32,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
18,351,8.53,623.33,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
74,23,4.76,347.97,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,775,1.43,104.72,['high_delay_probability']
188,292,7.66,559.68,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
151,215,19.69,1438.13,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,802,17.94,1310.42,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability']"
131,166,23.55,1720.29,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
1,38,9.63,703.38,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability']"
154,644,4.57,334.04,['high_delay_probability']
18,207,4.0,291.96,['high_delay_probability']
182,486,0.45,32.81,['high_delay_probability']
29,631,0.87,63.54,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
134,19,12.37,903.37,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
131,422,5.52,403.38,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
131,4,15.78,1152.69,"['high_demand_variability', 'high_delay_probability']"
147,775,16.34,1194.05,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
151,71,4.35,317.51,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,6,8.69,634.87,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
46,729,1.65,120.51,['high_delay_probability']
29,240,6.11,446.37,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,500,0.37,26.68,"['high_demand_variability', 'high_delay_probability']"
29,11,1.96,143.24,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
187,21,3.73,272.25,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
151,763,5.15,375.93,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
188,422,5.9,430.94,"['manufacture_to_avoid_stockout', 'high_demand_variability', 'high_delay_probability']"
194,554,7.78,568.4,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
147,631,4.16,303.55,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,117,16.64,1215.51,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
18,99,5.6,409.09,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,774,1.44,105.15,['high_delay_probability']
1,415,2.68,195.94,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,783,5.22,381.07,['high_delay_probability']
154,127,2.88,210.44,['high_delay_probability']
182,207,8.32,607.88,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
147,478,4.2,306.93,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
151,201,5.63,411.52,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
46,194,11.25,822.02,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
145,554,10.03,732.78,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_delay_probability']"
181,638,2.91,212.77,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
188,296,4.76,347.66,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
183,190,8.31,607.15,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_delay_probability']"
194,190,3.99,291.59,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
151,219,0.91,66.52,['high_delay_probability']
187,578,1.32,96.36,['high_delay_probability']
182,481,13.96,1019.5,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
46,41,7.84,572.7,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
187,834,9.3,679.59,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
182,310,5.97,435.97,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
118,554,2.07,150.91,['high_delay_probability']
60,631,4.99,364.56,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
1,554,7.19,525.28,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,6,6.1,445.52,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,253,3.53,257.98,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
145,684,2.88,210.1,['high_delay_probability']
1,810,9.96,727.77,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,500,5.42,396.05,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
134,126,9.02,659.11,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
60,478,3.24,236.75,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
196,775,6.7,489.48,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,104,36.22,2646.15,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
183,567,3.52,257.37,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
151,596,3.86,281.78,['high_delay_probability']
187,290,1.74,127.18,['high_delay_probability']
118,419,7.79,568.75,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
74,4,28.19,2059.49,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability']"
188,26,4.14,302.08,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
118,190,2.4,175.11,['high_delay_probability']
154,122,7.77,567.48,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,774,4.89,356.98,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,118,5.38,393.23,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
118,19,6.78,495.64,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,783,1.07,78.27,['high_delay_probability']
194,414,0.99,72.49,['high_delay_probability']
29,127,1.72,125.72,['high_delay_probability']
187,802,11.21,818.69,"['manufacture_to_avoid_stockout', 'high_demand_variability', 'high_delay_probability']"
1,19,4.63,338.55,['high_delay_probability']
151,214,1.18,85.88,['high_delay_probability']
181,215,2.84,207.22,['high_delay_probability']
147,500,4.48,327.18,"['high_demand_variability', 'high_delay_probability']"
182,467,6.68,487.93,"['high_demand_variability', 'high_delay_probability']"
151,223,7.88,575.92,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,634,4.64,339.18,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
183,670,2.36,172.65,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
188,129,11.69,853.86,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
194,23,7.12,520.35,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
182,296,5.3,386.98,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
18,215,19.5,1424.84,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
60,190,1.1,80.67,['high_delay_probability']
151,70,14.47,1057.39,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
183,41,9.34,682.31,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
131,250,1.16,84.93,['high_delay_probability']
187,11,4.08,298.16,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
46,310,1.54,112.44,['high_delay_probability']
1,796,10.41,760.3,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,486,15.79,1153.78,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
18,71,6.53,476.69,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
60,226,2.51,183.47,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
145,41,9.03,659.34,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
183,144,10.42,761.54,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
194,144,11.41,833.46,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
151,600,5.17,377.79,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
182,426,9.72,709.82,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
196,599,0.65,47.6,['high_delay_probability']
29,104,13.65,996.84,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,769,3.73,272.27,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
188,515,5.52,403.32,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
147,715,5.39,393.5,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
147,486,1.87,136.51,['high_delay_probability']
182,26,1.52,110.96,['high_delay_probability']
134,413,0.15,10.66,['high_delay_probability']
1,23,3.3,241.26,['high_delay_probability']
118,41,12.35,902.36,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
145,144,15.7,1146.84,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
134,4,8.67,633.05,"['high_demand_variability', 'high_delay_probability']"
154,638,3.96,289.07,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,863,7.57,552.72,['high_delay_probability']
187,644,10.21,746.1,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,207,2.51,183.6,['high_delay_probability']
147,580,4.14,302.73,['high_delay_probability']
74,129,8.61,629.13,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability']"
46,296,7.47,546.04,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
1,117,31.23,2281.19,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,740,2.93,214.11,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
187,6,8.16,595.81,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
183,292,9.3,679.64,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
118,144,7.48,546.49,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
134,763,4.85,354.51,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
147,207,0.06,4.36,['high_delay_probability']
181,596,12.07,882.07,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_delay_probability']"
1,638,1.94,142.0,['high_delay_probability']
18,578,11.84,864.75,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
145,292,4.8,350.78,['high_delay_probability']
187,774,4.03,294.32,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
194,166,12.97,947.49,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
187,783,7.03,513.31,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
187,127,6.62,483.89,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_delay_probability']"
18,596,5.32,388.65,['high_delay_probability']
196,194,8.48,619.49,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
18,834,4.23,309.11,['high_delay_probability']
182,686,1.76,128.71,['high_delay_probability']
183,422,2.73,199.41,"['high_demand_variability', 'high_delay_probability']"
181,214,3.45,251.81,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability']"
60,580,4.41,322.14,['high_delay_probability']
46,682,0.44,31.85,['high_delay_probability']
131,631,4.05,296.17,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
145,804,7.79,569.37,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
183,4,10.44,762.54,"['high_demand_variability', 'high_delay_probability']"
46,691,1.54,112.24,['high_delay_probability']
154,215,11.24,820.88,['high_delay_probability']
194,4,9.35,682.94,"['high_demand_variability', 'high_delay_probability']"
196,486,3.28,239.55,['high_delay_probability']
181,70,7.36,537.6,['high_delay_probability']
46,300,29.84,2179.96,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
145,422,5.97,436.22,"['manufacture_to_avoid_stockout', 'high_demand_variability', 'high_delay_probability']"
188,631,8.76,639.85,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_delay_probability']"
154,489,2.4,175.53,['high_delay_probability']
60,207,5.28,385.96,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
151,554,5.22,381.2,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
145,4,34.05,2487.67,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability']"
183,296,11.23,820.44,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
131,496,0.1,7.06,['high_delay_probability']
187,19,2.68,195.81,['high_delay_probability']
182,578,3.78,276.48,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
151,810,10.19,744.62,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
188,240,11.83,863.94,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,76,6.97,509.12,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
182,834,20.91,1527.42,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,345,7.44,543.36,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
118,422,6.39,466.7,"['manufacture_to_avoid_stockout', 'high_demand_variability', 'high_delay_probability']"
187,769,3.76,274.99,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
118,4,3.24,236.87,"['high_demand_variability', 'high_delay_probability']"
151,190,4.53,330.72,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,363,3.25,237.43,['high_delay_probability']
187,122,8.13,594.02,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,856,4.53,331.05,"['manufacture_to_avoid_stockout', 'high_demand_variability', 'high_delay_probability']"
1,4,37.24,2720.39,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability']"
134,214,1.72,125.51,['high_delay_probability']
131,379,9.03,659.57,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
46,21,7.93,579.34,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_delay_probability']"
131,635,4.36,318.78,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_delay_probability']"
60,166,12.41,906.87,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,215,34.49,2519.55,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_delay_probability']"
60,422,0.06,4.45,"['high_demand_variability', 'high_delay_probability']"
151,549,8.64,630.83,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
196,310,1.78,130.03,['high_delay_probability']
182,802,9.08,663.12,"['high_demand_variability', 'high_delay_probability']"
151,567,2.01,146.62,['high_delay_probability']
74,631,1.98,144.57,['high_delay_probability']
1,381,8.74,638.4,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
183,129,4.5,328.57,"['high_demand_variability', 'high_delay_probability']"
194,129,1.17,85.15,"['high_demand_variability', 'high_delay_probability']"
